Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC114,0.002564328914730817,0.8872631496535417
PC115,0.002530612663302464,0.8897937623168442
PC116,0.0025066010793212807,0.8923003633961655
PC117,0.0024922318471329264,0.8947925952432983
PC118,0.0024496714069435163,0.8972422666502419
PC119,0.002416989855766094,0.899659256506008
PC120,0.002398423951961273,0.9020576804579693
PC121,0.002316262645921186,0.9043739431038905
PC122,0.0023016753718560355,0.9066756184757465
PC123,0.0022688112882518004,0.9089444297639984
PC124,0.0022407423224592737,0.9111851720864577
PC125,0.0022338449603500252,0.9134190170468077
PC126,0.002220046219814073,0.9156390632666218
PC127,0.002130327388022498,0.9177693906546444
PC128,0.002108828663413657,0.919878219318058
PC129,0.002073777333138099,0.9219519966511961
PC130,0.0019822052003275934,0.9239342018515236
PC131,0.0019758558412510804,0.9259100576927747
PC132,0.001957073670314051,0.9278671313630887
PC133,0.0019141093181854357,0.9297812406812742
PC134,0.0018912359673606063,0.9316724766486348
PC135,0.00188268144662232,0.9335551580952571
PC136,0.0018736589951606033,0.9354288170904177
PC137,0.001843451336940434,0.9372722684273581
PC138,0.0018230622578752594,0.9390953306852333
PC139,0.0017960804800689716,0.9408914111653023
PC140,0.0017380716423440192,0.9426294828076464
PC141,0.0017167980976782054,0.9443462809053246
PC142,0.0016715151834932641,0.9460177960888179
PC143,0.0016557666686242607,0.9476735627574421
PC144,0.0016425330066712294,0.9493160957641134
PC145,0.001619947083793154,0.9509360428479066
PC146,0.001584899109748549,0.9525209419576551
PC147,0.0015169741967636227,0.9540379161544188
PC148,0.001496484113040909,0.9555344002674597
PC149,0.0014862501147378498,0.9570206503821975
PC150,0.001466914380705667,0.9584875647629032
PC151,0.0014338047351481302,0.9599213694980513
PC152,0.0013871317819954521,0.9613085012800467
PC153,0.0013640065424553563,0.9626725078225021
PC154,0.0013245319668400788,0.9639970397893423
PC155,0.0012979260734901313,0.9652949658628324
PC156,0.0012638879430320906,0.9665588538058645
PC157,0.0012480558746548575,0.9678069096805193
PC158,0.0012024389584743595,0.9690093486389937
PC159,0.0011644108430823835,0.9701737594820761
PC160,0.0011554794458903431,0.9713292389279664
PC161,0.0011355829159557292,0.9724648218439221
PC162,0.0011185997961382583,0.9735834216400604
PC163,0.0010843933646606482,0.974667815004721
PC164,0.001040229257558461,0.9757080442622794
PC165,0.0010368680903372993,0.9767449123526167
PC166,0.001019276804172761,0.9777641891567895
PC167,0.000981480633338719,0.9787456697901282
PC168,0.0009602059532186897,0.9797058757433469
PC169,0.0009485343578567773,0.9806544101012037
PC170,0.0009033536084163252,0.98155776370962
PC171,0.0008832723791010269,0.982441036088721
PC172,0.0008329242266400357,0.9832739603153611
PC173,0.0008071895326723338,0.9840811498480334
PC174,0.0007372612561782091,0.9848184111042116
PC175,0.0007151279145290495,0.9855335390187407
PC176,0.000705621298111194,0.986239160316852
PC177,0.0006802040025672248,0.9869193643194192
PC178,0.0006700429768764217,0.9875894072962956
PC179,0.0006478521922979992,0.9882372594885936
PC180,0.0006147685192187298,0.9888520280078124
PC181,0.0006016702535690393,0.9894536982613814
PC182,0.0005881937144165851,0.990041891975798
PC183,0.0005624807845946404,0.9906043727603926
PC184,0.0005498296428864376,0.991154202403279
PC185,0.000518893834052473,0.9916730962373315
PC186,0.0005151664409668645,0.9921882626782983
PC187,0.0004973688802462179,0.9926856315585445
PC188,0.0004868174409058807,0.9931724489994503
PC189,0.0004760869399362136,0.9936485359393865
PC190,0.0004304972316466225,0.9940790331710332
PC191,0.00041532904130450494,0.9944943622123377
PC192,0.0004114284928129021,0.9949057907051506
PC193,0.0003707343113896161,0.9952765250165402
PC194,0.0003516177426695679,0.9956281427592097
PC195,0.00032993201876778763,0.9959580747779775
PC196,0.00030964578220916305,0.9962677205601866
