Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC92,0.003357594269155084,0.8212985458102061
PC93,0.0033325835071658003,0.8246311293173719
PC94,0.003303793908136149,0.8279349232255081
PC95,0.0032681988902332833,0.8312031221157414
PC96,0.0032353988660494817,0.8344385209817909
PC97,0.0031492882822231664,0.8375878092640141
PC98,0.003138515866091022,0.8407263251301051
PC99,0.0031126399403706667,0.8438389650704758
PC100,0.00309023843969175,0.8469292035101675
PC101,0.0030195149369052054,0.8499487184470728
PC102,0.002963540724481113,0.8529122591715539
PC103,0.002950045954189769,0.8558623051257437
PC104,0.002925191847110729,0.8587874969728544
PC105,0.002893370159241443,0.8616808671320958
PC106,0.0028635085745201587,0.8645443757066159
PC107,0.002819821140914337,0.8673641968475303
PC108,0.0027963029280476245,0.870160499775578
PC109,0.0027622992157280003,0.872922798991306
PC110,0.0027196002879325575,0.8756423992792386
PC111,0.002707780291882861,0.8783501795711215
PC112,0.0026468599611015925,0.8809970395322231
PC113,0.0026373110918741175,0.8836343506240972
PC114,0.0025545456603262235,0.8861888962844234
PC115,0.0025274767554981006,0.8887163730399216
PC116,0.002502790183790741,0.8912191632237123
PC117,0.002490358794998582,0.8937095220187109
PC118,0.0024404583000329112,0.8961499803187438
PC119,0.0024233303863250995,0.898573310705069
PC120,0.0023947033765141833,0.9009680140815831
PC121,0.0023080415704141363,0.9032760556519972
PC122,0.002296042522611428,0.9055720981746086
PC123,0.0022886816266350597,0.9078607798012437
PC124,0.0022362553593481805,0.9100970351605918
PC125,0.002231806395646715,0.9123288415562385
PC126,0.0022237525908440077,0.9145525941470825
PC127,0.002123279346887369,0.9166758734939698
PC128,0.002102211709768062,0.9187780852037379
PC129,0.002068639735745162,0.920846724939483
PC130,0.001986054091243945,0.922832779030727
PC131,0.001970688084452914,0.9248034671151799
PC132,0.0019565704405224223,0.9267600375557024
PC133,0.0019074648720481084,0.9286675024277504
PC134,0.0018956956944271904,0.9305631981221776
PC135,0.0018830996871723607,0.93244629780935
PC136,0.0018700567032390331,0.934316354512589
PC137,0.0018364993205775876,0.9361528538331666
PC138,0.0018182766382077158,0.9379711304713743
PC139,0.0017946866490117699,0.939765817120386
PC140,0.0017771175588047177,0.9415429346791907
PC141,0.0017126362254615154,0.9432555709046522
PC142,0.0016745922471869676,0.9449301631518391
PC143,0.0016501674548458642,0.946580330606685
PC144,0.0016391308548967894,0.9482194614615818
PC145,0.0016145128384539259,0.9498339743000357
PC146,0.0015814671404523588,0.9514154414404881
PC147,0.0015517198873073981,0.9529671613277955
PC148,0.0014961649852083655,0.9544633263130038
PC149,0.0014837412062576555,0.9559470675192614
PC150,0.0014641974062861675,0.9574112649255475
PC151,0.0014345257737553897,0.9588457906993029
